,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
0,670454353,False,finalized,3,2/10/15 3:45,"Chisinau, Moldova",1.0,30-Sep-1895,1.0,White,1.0,Na,1.0,Straight,1.0,1927,1.0,Best Director,http://www.nndb.com/people/320/000043191/,,,Two Arabian Knights,Lewis Milestone,,,,
1,670454354,False,finalized,3,2/10/15 2:03,"Glasgow, Scotland",1.0,2-Feb-1886,1.0,White,1.0,Na,1.0,Straight,0.6842,1930,1.0,Best Director,http://www.nndb.com/people/626/000042500/,,,The Divine Lady,Frank Lloyd,,,,
2,670454355,False,finalized,3,2/10/15 2:05,"Chisinau, Moldova",1.0,30-Sep-1895,1.0,White,1.0,Na,1.0,Straight,1.0,1931,0.6667,Best Director,http://www.nndb.com/people/320/000043191/,,,All Quiet on the Western Front,Lewis Milestone,,,,
3,670454356,False,finalized,3,2/10/15 2:04,"Chicago, Il",1.0,23-Feb-1899,1.0,White,1.0,Na,1.0,Straight,1.0,1932,1.0,Best Director,http://www.nndb.com/people/544/000041421/,,,Skippy,Norman Taurog,,,,
4,670454357,False,finalized,3,2/10/15 1:48,"Salt Lake City, Ut",1.0,23-Apr-1894,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1933,1.0,Best Director,http://www.nndb.com/people/292/000044160/,,,Bad Girl,Frank Borzage,,,,
5,670454358,False,finalized,3,2/10/15 3:50,"Glasgow, Scotland",1.0,2-Feb-1886,1.0,White,1.0,Na,1.0,Straight,1.0,1934,1.0,Best Director,http://www.nndb.com/people/626/000042500/,,,Cavalcade,Frank Lloyd,,,,
6,670454359,False,finalized,3,2/10/15 2:07,"Bisacquino, Sicily, Italy",1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1935,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,It Happened One Night,Frank Capra,,,,
7,670454360,False,finalized,3,2/10/15 1:46,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1936,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,The Informer,John Ford,,,,
8,670454361,False,finalized,3,2/10/15 1:47,"Bisacquino, Sicily, Italy",1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1937,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,Mr. Deeds Goes to Town,Frank Capra,,,,
9,670454362,False,finalized,3,2/10/15 2:05,"Los Angeles, Ca",1.0,3-Oct-1898,1.0,White,1.0,Na,1.0,Straight,1.0,1938,1.0,Best Director,http://www.nndb.com/people/380/000044248/,,,The Awful Truth,Leo McCarey,,,,
10,670454363,False,finalized,3,2/10/15 2:04,"Bisacquino, Sicily, Italy",1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1939,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,You Can't Take It with You,Frank Capra,,,,
11,670454364,False,finalized,3,2/10/15 2:10,"Pasadena, Ca",1.0,23-Feb-1883,1.0,White,1.0,Na,1.0,Straight,1.0,1940,1.0,Best Director,http://www.nndb.com/people/416/000041293/,,,Gone with the Wind,Victor Fleming,,,,
12,670454365,False,finalized,3,2/10/15 2:12,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1941,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,The Grapes of Wrath,John Ford,,,,
13,670454366,False,finalized,3,2/10/15 2:02,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1942,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,How Green Was My Valley,John Ford,,,,
14,670454367,False,finalized,3,2/10/15 3:57,"Mulhouse, Haut-Rhin, Alsace, France",1.0,1-Jul-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1943,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,Mrs. Miniver,William Wyler,,,,
15,670454368,False,finalized,3,2/10/15 2:02,"Budapest, Hungary",1.0,24-Dec-1886,1.0,White,1.0,Na,1.0,Straight,1.0,1944,1.0,Best Director,http://www.nndb.com/people/676/000032580/,,,Casablanca,Michael Curtiz,,,,
16,670454369,False,finalized,3,2/10/15 2:29,"Los Angeles, Ca",1.0,3-Oct-1898,1.0,White,1.0,Na,1.0,Straight,1.0,1945,1.0,Best Director,http://www.nndb.com/people/380/000044248/,,,Going My Way,Leo McCarey,,,,
17,670454370,False,finalized,3,2/10/15 1:55,New York City,1.0,11-Oct-18,1.0,White,1.0,Jewish,1.0,Gay,1.0,1962,1.0,Best Director,http://www.nndb.com/people/281/000064089/,,,West Side Story,Jerome Robbins,,,,
18,670454371,False,finalized,3,2/10/15 4:02,"Sucha, Galicia, Austria",0.6667,22-Jun-06,1.0,White,1.0,Jewish,1.0,Straight,1.0,1946,1.0,Best Director,http://www.nndb.com/people/982/000024910/,,,The Lost Weekend,Billy Wilder,,,,
19,670454372,False,finalized,3,2/10/15 2:12,"Mulhouse, Haut-Rhin, Alsace, France",1.0,1-Jul-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,The Best Years of Our Lives,William Wyler,,,,
20,670454373,False,finalized,3,2/10/15 1:46,"Istanbul, Turkey",1.0,7-Sep-09,1.0,White,1.0,Na,1.0,Straight,1.0,1948,1.0,Best Director,http://www.nndb.com/people/537/000026459/,,,Gentleman's Agreement,Elia Kazan,,,,
21,670454374,True,golden,82,,"Nevada, Mo",1.0,5-Aug-06,1.0,White,1.0,Na,1.0,Straight,1.0,1949,1.0,Best Director,http://www.nndb.com/people/704/000024632/,,5-Aug-06,The Treasure of the Sierra Madre,John Huston,,,,
22,670454375,False,finalized,3,2/10/15 3:50,"Wilkes-Barre, Pa",1.0,11-Feb-09,1.0,White,1.0,Jewish,1.0,Straight,1.0,1950,1.0,Best Director,http://www.nndb.com/people/723/000032627/,,,A Letter to Three Wives,Joseph L. Mankiewicz,,,,
23,670454376,False,finalized,3,2/10/15 1:51,"Wilkes-Barre, Pa",1.0,11-Feb-09,1.0,White,1.0,Jewish,1.0,Straight,1.0,1951,1.0,Best Director,http://www.nndb.com/people/723/000032627/,,,All About Eve,Joseph L. Mankiewicz,,,,
24,670454377,False,finalized,3,2/10/15 2:15,"Oakland, Ca",1.0,18-Dec-04,1.0,White,1.0,Na,1.0,Straight,1.0,1952,1.0,Best Director,http://www.nndb.com/people/382/000044250/,,,A Place in the Sun,George Stevens,,,,
25,670454378,False,finalized,3,2/10/15 2:15,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1953,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,The Quiet Man,John Ford,,,,
26,670454379,False,finalized,3,2/10/15 1:57,"Vienna, Austria",1.0,29-Apr-07,1.0,White,1.0,Jewish,1.0,Straight,1.0,1954,1.0,Best Director,http://www.nndb.com/people/538/000032442/,,,From Here to Eternity,Fred Zinnemann,,,,
27,670454380,False,finalized,3,2/10/15 3:50,"Istanbul, Turkey",1.0,7-Sep-09,1.0,White,1.0,Na,1.0,Straight,1.0,1955,1.0,Best Director,http://www.nndb.com/people/537/000026459/,,,On the Waterfront,Elia Kazan,,,,
28,670454381,False,finalized,3,2/10/15 3:53,"Lawrence, Ks",1.0,30-Jan-20,1.0,White,1.0,Presbyterian,1.0,Straight,1.0,1956,1.0,Best Director,http://www.nndb.com/people/384/000044252/,,,Marty,Delbert Mann,,,,
29,670454382,False,finalized,3,2/10/15 3:50,"Oakland, Ca",1.0,18-Dec-04,1.0,White,1.0,Na,1.0,Straight,1.0,1957,1.0,Best Director,http://www.nndb.com/people/382/000044250/,,,Giant,George Stevens,,,,
30,670454383,False,finalized,3,2/10/15 2:07,"Croydon, Surrey, England",0.6667,25-Mar-08,1.0,White,1.0,Na,1.0,Straight,0.6667,1958,1.0,Best Director,http://www.nndb.com/people/462/000032366/,,,The Bridge on the River Kwai,David Lean,,,,
31,670454384,False,finalized,3,2/10/15 1:52,"Chicago, Il",1.0,28-Feb-1903,1.0,White,1.0,Na,1.0,Bisexual,1.0,1959,1.0,Best Director,http://www.nndb.com/people/825/000032729/,,,Gigi,Vincente Minnelli,,,,
32,670454385,False,finalized,3,2/10/15 1:55,"Mulhouse, Haut-Rhin, Alsace, France",1.0,1-Jul-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1960,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,Ben-Hur,William Wyler,,,,
33,670454386,True,golden,87,,"Sucha, Galicia, Austria",1.0,22-Jun-06,1.0,White,1.0,Jewish,0.963,Straight,1.0,1961,1.0,Best Director,http://www.nndb.com/people/982/000024910/,"Sucha, Galicia, Austria",22-Jun-06,The Apartment,Billy Wilder,,Jewish,,1961.0
34,670454387,False,finalized,3,2/10/15 1:55,"Winchester, In",1.0,10-Sep-14,1.0,White,1.0,Na,1.0,Straight,1.0,1961,0.6667,Best Director,http://www.nndb.com/people/460/000032364/,,,West Side Story,Robert Wise,,,,
